epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2844.46,0.8888,0.83497,1.15321,0.72959,0.69629,0.70026,0.55625,1.26521,1.31851,1.4266,0.0002278,0.0002278,0.0002278
80,2880.04,0.87298,0.81535,1.14362,0.71803,0.68533,0.6999,0.55495,1.29089,1.34639,1.46295,0.0002179,0.0002179,0.0002179
81,2915.64,0.8822,0.80913,1.14719,0.7297,0.68242,0.6999,0.55678,1.27669,1.32157,1.45135,0.000208,0.000208,0.000208
82,2951.03,0.88446,0.81238,1.14373,0.74419,0.68804,0.70556,0.55915,1.2758,1.30786,1.44899,0.0001981,0.0001981,0.0001981
83,2986.68,0.86405,0.79131,1.13646,0.72128,0.6773,0.70172,0.55441,1.28726,1.35058,1.45451,0.0001882,0.0001882,0.0001882
84,3022.17,0.87382,0.80133,1.13843,0.75272,0.66986,0.70515,0.55959,1.28134,1.29436,1.45031,0.0001783,0.0001783,0.0001783
85,3057.78,0.8632,0.78678,1.13602,0.73058,0.69268,0.70604,0.55603,1.28352,1.30082,1.46004,0.0001684,0.0001684,0.0001684
86,3093.17,0.85693,0.76775,1.12659,0.72222,0.70128,0.70927,0.56131,1.27856,1.30604,1.447,0.0001585,0.0001585,0.0001585
87,3128.69,0.84936,0.76538,1.12726,0.74586,0.6896,0.70861,0.55492,1.28888,1.28069,1.4623,0.0001486,0.0001486,0.0001486
88,3164.2,0.84888,0.76346,1.12162,0.71388,0.70293,0.70176,0.55496,1.28559,1.31369,1.45994,0.0001387,0.0001387,0.0001387
89,3199.57,0.84642,0.76338,1.12043,0.7625,0.67255,0.70473,0.55889,1.27213,1.30521,1.4446,0.0001288,0.0001288,0.0001288
90,3235.3,0.84097,0.75069,1.11561,0.74817,0.6795,0.70563,0.55959,1.27534,1.29124,1.45044,0.0001189,0.0001189,0.0001189
91,3271.75,0.82615,0.69958,1.09043,0.7038,0.6957,0.69295,0.54948,1.31026,1.32355,1.49775,0.000109,0.000109,0.000109
92,3306.83,0.78039,0.62137,1.06382,0.73719,0.67975,0.69675,0.55523,1.28392,1.32488,1.46663,9.91e-05,9.91e-05,9.91e-05
93,3341.87,0.78143,0.60834,1.0623,0.7588,0.67292,0.69864,0.55698,1.2851,1.30687,1.46682,8.92e-05,8.92e-05,8.92e-05
94,3377.09,0.76993,0.60451,1.05748,0.74381,0.6821,0.69897,0.55618,1.28446,1.30636,1.46787,7.93e-05,7.93e-05,7.93e-05
95,3412.23,0.75752,0.57756,1.04637,0.73205,0.7065,0.70688,0.55946,1.28546,1.2966,1.47024,6.94e-05,6.94e-05,6.94e-05
96,3447.47,0.75415,0.57197,1.04296,0.73093,0.69684,0.70862,0.56017,1.28701,1.30505,1.47408,5.95e-05,5.95e-05,5.95e-05
97,3482.62,0.74829,0.56057,1.03496,0.74956,0.69008,0.70902,0.55958,1.29067,1.30263,1.47741,4.96e-05,4.96e-05,4.96e-05
98,3517.75,0.74346,0.56548,1.03972,0.74529,0.69158,0.71023,0.56017,1.28763,1.29971,1.48021,3.97e-05,3.97e-05,3.97e-05
99,3553,0.74209,0.55539,1.03433,0.75141,0.69278,0.71048,0.55896,1.28691,1.29551,1.47869,2.98e-05,2.98e-05,2.98e-05
100,3588.13,0.74596,0.55739,1.03664,0.75136,0.69625,0.70912,0.55986,1.29603,1.29454,1.48662,1.99e-05,1.99e-05,1.99e-05
