epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5728.86,0.86486,0.81758,1.24064,0.76948,0.67864,0.72434,0.54389,1.34924,1.42284,1.69019,0.0002773,0.0002773,0.0002773
75,5806.12,0.88011,0.8479,1.25893,0.755,0.6869,0.72231,0.54466,1.33657,1.41301,1.66658,0.0002674,0.0002674,0.0002674
76,5883.3,0.86255,0.81756,1.24064,0.75157,0.69299,0.71572,0.54252,1.35217,1.42096,1.69026,0.0002575,0.0002575,0.0002575
77,5959.98,0.86554,0.8192,1.24158,0.74939,0.69429,0.71982,0.54279,1.34934,1.44085,1.69438,0.0002476,0.0002476,0.0002476
78,6036.84,0.85851,0.81207,1.23403,0.77605,0.68505,0.7239,0.55292,1.33595,1.40353,1.68693,0.0002377,0.0002377,0.0002377
79,6113.99,0.8502,0.80197,1.23279,0.76036,0.69256,0.7167,0.54553,1.3553,1.42454,1.70586,0.0002278,0.0002278,0.0002278
80,6191.36,0.83091,0.78355,1.22431,0.7627,0.6889,0.72272,0.55303,1.33323,1.40546,1.69787,0.0002179,0.0002179,0.0002179
81,6268.54,0.84831,0.78786,1.22873,0.7836,0.67463,0.72639,0.55325,1.33621,1.40599,1.67981,0.000208,0.000208,0.000208
82,6345.31,0.84414,0.77835,1.22016,0.7684,0.68287,0.72245,0.5508,1.337,1.42659,1.68164,0.0001981,0.0001981,0.0001981
83,6422.37,0.82362,0.75828,1.21622,0.80121,0.66622,0.719,0.55131,1.33607,1.41969,1.69269,0.0001882,0.0001882,0.0001882
84,6499.53,0.83068,0.75655,1.21323,0.75643,0.69659,0.72621,0.54836,1.35747,1.41255,1.71845,0.0001783,0.0001783,0.0001783
85,6577.38,0.83048,0.76337,1.21728,0.79778,0.66643,0.72193,0.54638,1.35317,1.40615,1.70891,0.0001684,0.0001684,0.0001684
86,6655.94,0.8089,0.72483,1.19804,0.75418,0.6874,0.72203,0.55367,1.35415,1.42194,1.70399,0.0001585,0.0001585,0.0001585
87,6734.7,0.80605,0.725,1.19499,0.73857,0.71315,0.72328,0.54892,1.35745,1.44211,1.70345,0.0001486,0.0001486,0.0001486
88,6813.75,0.80514,0.73037,1.19294,0.77447,0.69067,0.72398,0.54763,1.35157,1.43241,1.69893,0.0001387,0.0001387,0.0001387
89,6892.97,0.80467,0.73116,1.19505,0.7728,0.6867,0.72833,0.55114,1.34537,1.41807,1.69461,0.0001288,0.0001288,0.0001288
90,6971.77,0.78937,0.70822,1.18347,0.75941,0.70489,0.725,0.54997,1.34942,1.42829,1.71554,0.0001189,0.0001189,0.0001189
91,7049.98,0.82853,0.68445,1.20254,0.74794,0.70728,0.72066,0.54702,1.35177,1.40621,1.72192,0.000109,0.000109,0.000109
92,7127.34,0.77056,0.60153,1.15578,0.76938,0.69218,0.72811,0.55238,1.33734,1.42042,1.70209,9.91e-05,9.91e-05,9.91e-05
93,7203.93,0.7714,0.59455,1.15261,0.78461,0.68843,0.72944,0.55521,1.34412,1.40542,1.72121,8.92e-05,8.92e-05,8.92e-05
94,7280.99,0.76483,0.58635,1.14739,0.77572,0.69315,0.73065,0.55765,1.33261,1.40497,1.70302,7.93e-05,7.93e-05,7.93e-05
95,7358.26,0.75132,0.56518,1.13442,0.74872,0.70937,0.72878,0.55587,1.33904,1.39632,1.72285,6.94e-05,6.94e-05,6.94e-05
96,7435.05,0.74509,0.55032,1.14089,0.78856,0.6764,0.72812,0.55583,1.33326,1.40852,1.71347,5.95e-05,5.95e-05,5.95e-05
97,7511.44,0.73995,0.54704,1.12884,0.76438,0.70143,0.72941,0.55432,1.34307,1.41013,1.71697,4.96e-05,4.96e-05,4.96e-05
98,7587.7,0.73472,0.54291,1.12542,0.76168,0.70719,0.72884,0.55462,1.34951,1.40483,1.72873,3.97e-05,3.97e-05,3.97e-05
99,7664.24,0.72764,0.53589,1.11957,0.75122,0.72087,0.73106,0.55574,1.34354,1.41098,1.7238,2.98e-05,2.98e-05,2.98e-05
100,7740.24,0.7266,0.5296,1.11205,0.7352,0.72811,0.73216,0.55767,1.33985,1.41245,1.72449,1.99e-05,1.99e-05,1.99e-05
